name,similarName 
'(1)  mapeax  remdies  pvt. ltd. , (2)winsome textile  ltd. ( 3 ) lumi','1.2.3',
(1)  mapeax  remdies  pvt. ltd. , (2)winsome textile  ltd. ( 3 ) lumi','3',
3 S Envo Solution','3 S Envo Solution',
 S Envo Solution,'3s envo solutions',
'3 Wings Engineers','3',
3 Wings Engineers','3 Wings Engineers',
'31West Global Services','3 Global Services',
31West Global Services','31West Global Services',
1West Global Services,'@Global',
'32 Solutions','39 Solutions',
32 Solutions','3m Solutions',
'33 Food','33 foods',
'33 foods','33 Food',
33 foods','33 foods',
'360 BRANDING SOLUTIONS PVT. LTD','360 PC Solutions Pvt Ltd',
'360 Degree','360 Degree Cloud Technologies',
360 Degree','360 Degree Digital Solutions',
60 Degree,'360 degree media solution pvt ltd',
'360 Degree Cloud Technologies','360 Degree',
360 Degree Cloud Technologies','360 Degree Cloud Technologies',
'360 Degree Digital Solutions','360 Degree',
360 Degree Digital Solutions','360 Degree Digital Solutions',
60 Degree Digital Solutions,'360 Degree Solutions',
'360 degree media solution pvt ltd','360 Degree',
360 degree media solution pvt ltd','360 degree media solution pvt ltd',
'360 DEGREE MEDIA SOLUTIONS','360 Degree',
360 DEGREE MEDIA SOLUTIONS','360 DEGREE MEDIA SOLUTIONS',
60 DEGREE MEDIA SOLUTIONS,'360 Degree Solutions',
'360 Degree Solutions','360 Degree',
360 Degree Solutions','360 Degree Digital Solutions',
60 Degree Solutions,'360 DEGREE MEDIA SOLUTIONS',
0 Degree Solution,'360 Degree Solutions',
'360 Degree Technosoft','360 Degree',
360 Degree Technosoft','360 Degree Technosoft',
'360 DEGREE THERAPY','360 Degree',
360 DEGREE THERAPY','360 DEGREE THERAPY',
'360 Nautica Tech Venture','360 nautica tech ventures',
'360 nautica tech ventures','360 Nautica Tech Venture',
360 nautica tech ventures','360 nautica tech ventures',
'360 PC Solutions Pvt Ltd','360 BRANDING SOLUTIONS PVT. LTD',
360 PC Solutions Pvt Ltd','360 PC Solutions Pvt Ltd',
'360 Realtors','360 Realtors LLP',
'360 Realtors LLP','360 Realtors',
360 Realtors LLP','360 Realtors LLP',
'360i Technologies','3Wi Technologies',
'360Logica','360Logica Software Testing Services',
'360Logica Software Testing Services','360Logica',
360Logica Software Testing Services','360Logica Software Testing Services',
'361 degree Minds','361 Degree Minds Consulting Pvt Ltd',
361 degree Minds','361 Degrees Minds',
'361 Degree Minds Consulting Pvt Ltd','361 degree Minds',
361 Degree Minds Consulting Pvt Ltd','361 Degree Minds Consulting Pvt Ltd',
61 Degree Minds Consulting Pvt Ltd,'3B Consulting Pvt. Ltd.',
1 Degree Minds Consulting Pvt Lt,'4 Consulting',
'361 Degrees Minds','361 degree Minds',
361 Degrees Minds','361 Degrees Minds',
'365 Innovative','A Innovative',
'39 Solutions','32 Solutions',
39 Solutions','39 Solutions',
9 Solutions,'3m Solutions',
 Solution,'3PQ Business Solutions',
Solutio,'7 Seas Business Solution',
'3A Composites','3A Composites India Pvt. Ltd.',
'3A Composites India Pvt. Ltd.','3A Composites',
3A Composites India Pvt. Ltd.','3A Composites India Pvt. Ltd.',
'3A Consultants','3C Consultants',
3A Consultants','3G Consultants',
A Consultants,'3P Consultants',
 Consultant,'3S Consultants',
Consultan,'A T Consultant',
'3Aces','3Aces Technologies',
'3Aces Technologies','3Aces',
3Aces Technologies','3Aces Technologies',
Aces Technologies,'3C Technologies',
'3AG Network Solutions','3G Network Solutions',
'3B Consulting Pvt. Ltd.','361 Degree Minds Consulting Pvt Ltd',
3B Consulting Pvt. Ltd.','3B Consulting Pvt. Ltd.',
B Consulting Pvt. Ltd.,'3Gen consulting Pvt.Ltd',
 Consulting Pvt. Ltd,'4 Consulting',
Consulting Pvt. Lt,'4 Degree Consulting Pvt. Ltd.',
'3C Consultants','3A Consultants',
3C Consultants','3C Consultants',
C Consultants,'3G Consultants',
 Consultant,'3P Consultants',
Consultan,'A T Consultant',
'3C Technologies','3Aces Technologies',
3C Technologies','3C Technologies',
C Technologies,'3D Technologies',
 Technologie,'3DEC TECHNOLOGIES',
'3ccorporate Career Consulting','4 Consulting',
'3D Architecture','3DADS Architecture',
'3D Concept Analysis and Development','3D Concept Analysis Development',
'3D Concept Analysis Development','3D Concept Analysis and Development',
3D Concept Analysis Development','3D Concept Analysis Development',
'3d Graphic Designer','3dgraphics designer',
3d Graphic Designer','3s Photo Art Pvt Ltd as Graphic Designer',
'3D India Staffing Research & Consulting','4 Consulting',
'3D industries Pvt.ltd','A A Industries',
'3D PACKAGING LTD','1.ultratech cement ltd co jaipur supreme packaging pvt ltd',
3D PACKAGING LTD','3D PACKAGING LTD',
'3D PLM Global Services','3 Global Services',
3D PLM Global Services','3D PLM Global Services',
D PLM Global Services,'3DPLM Global Service',
 PLM Global Service,'@Global',
'3D Spectra Technologies','3D Technologies',
'3D Systems','3Di Systems',
'3D Technologies','3C Technologies',
3D Technologies','3D Spectra Technologies',
D Technologies,'3D Technologies',
 Technologie,'3DEC TECHNOLOGIES',
'3D Technopack','3d tecnopack',
'3d tecnopack','3D Technopack',
3d tecnopack','3d tecnopack',
'3DADS Architecture','3D Architecture',
3DADS Architecture','3DADS Architecture',
'3DEC TECHNOLOGIES','3C Technologies',
3DEC TECHNOLOGIES','3D Technologies',
DEC TECHNOLOGIES,'3DEC TECHNOLOGIES',
EC TECHNOLOGIE,'3dee technologies',
'3dee technologies','3D Technologies',
3dee technologies','3DEC TECHNOLOGIES',
dee technologies,'3dee technologies',
ee technologie,'6D Technologies',
e technologi,'7Eye Technologies',
'3dgraphics designer','3d Graphic Designer',
3dgraphics designer','3dgraphics designer',
'3di','3Di Systems',
3di','3di systems solutions pvt. ltd',
'3Di Systems','3D Systems',
3Di Systems','3di',
Di Systems,'3Di Systems',
'3di systems solutions pvt. ltd','3di',
3di systems solutions pvt. ltd','3Di Systems',
di systems solutions pvt. ltd,'3di systems solutions pvt. ltd',
'3DPLM Global Service','3D PLM Global Services',
3DPLM Global Service','3DPLM Global Service',
DPLM Global Service,'@Global',
'3Edge','3Edge Solutions',
'3Edge Solutions','3Edge',
3Edge Solutions','3Edge Solutions',
'3F Industries','3S Industries',
3F Industries','A A Industries',
'3F Oil Palm','3F OIL PALM AGROTECH PVT.LTD',
'3F OIL PALM AGROTECH PVT.LTD','3F Oil Palm',
3F OIL PALM AGROTECH PVT.LTD','3F OIL PALM AGROTECH PVT.LTD',
'3G Consultants','3A Consultants',
3G Consultants','3C Consultants',
G Consultants,'3G Consultants',
 Consultant,'3P Consultants',
Consultan,'A T Consultant',
'3G Infotech','3G Logic Infotech',
3G Infotech','3i Infotech',
'3G Logic Infotech','3G Infotech',
3G Logic Infotech','3G Logic Infotech',
'3G Network Solutions','3AG Network Solutions',
3G Network Solutions','3G Network Solutions',
'3G Plastics','3g plastics ltd. ,3g house, plot no.1, near nestle factory, tema industrial easte,tema,ghana(africa)',
'3g plastics ltd. ,3g house, plot no.1, near nestle factory, tema industrial easte,tema,ghana(africa)','3G Plastics',
3g plastics ltd. ,3g house, plot no.1, near nestle factory, tema industrial easte,tema,ghana(africa)','3g plastics ltd. ,3g house, plot no.1, near nestle factory, tema industrial easte,tema,ghana(africa)',
'3Gen consulting Pvt.Ltd','3B Consulting Pvt. Ltd.',
3Gen consulting Pvt.Ltd','3Gen consulting Pvt.Ltd',
Gen consulting Pvt.Ltd,'4 Consulting',
en consulting Pvt.Lt,'4 Degree Consulting Pvt. Ltd.',
'3I Consulting','4 Consulting',
'3i Global','@Global',
'3i Infotech','3G Infotech',
3i Infotech','3i Infotech',
i Infotech,'3i infotech bpo pvt ltd.',
 Infotec,'6i-infotech',
'3i infotech bpo pvt ltd.','3i Infotech',
3i infotech bpo pvt ltd.','3i infotech bpo pvt ltd.',
'3i People','3i People Solutions Pvt. Ltd',
'3i People Solutions Pvt. Ltd','3i People',
3i People Solutions Pvt. Ltd','3i People Solutions Pvt. Ltd',
'3i-infotech consultancy services','3i Infotech',
3i-infotech consultancy services','3i-infotech consultancy services',
i-infotech consultancy services,'3S Infotech Services',
-infotech consultancy service,'A S A Consultancy Services',
'3K Technologies Ltd.','4dxfitness technologies pvt ltd',
3K Technologies Ltd.','4SPL Technologies India Pvt Ltd',
K Technologies Ltd.,'9 Edge Technologies Pvt Ltd',
'3M','3M Car Care',
3M','3M Diagnostics',
M,'3m Digital',
,'4 M Animation',
'3M Car Care','3M',
3M Car Care','3M Car Care',
'3M Diagnostics','3M',
3M Diagnostics','3M Diagnostics',
'3m Digital','3M',
3m Digital','3m Digital',
'3M india ltd.','3M',
3M india ltd.','3M india ltd.',
'3M Purification','3M',
3M Purification','3M Purification',
'3m Solutions','32 Solutions',
3m Solutions','39 Solutions',
m Solutions,'3M',
 Solution,'3m Solutions',
Solutio,'7 Seas Business Solution',
'3M Team Security Services','3M',
3M Team Security Services','3M Team Security Services',
'3P Consultants','3A Consultants',
3P Consultants','3C Consultants',
P Consultants,'3G Consultants',
 Consultant,'3P Consultants',
Consultan,'A T Consultant',
'3Pillar Global','@Global',
'3PQ Business Solutions','7Hills Business Solutions',
'3R Management  Pvt  Ltd.','3s integrated facility management pvt ltd., & radiant hospitality servises pvt ltd',
'3S Consultants','3A Consultants',
3S Consultants','3C Consultants',
S Consultants,'3G Consultants',
 Consultant,'3P Consultants',
Consultan,'A T Consultant',
'3S Data Consulting','4 Consulting',
'3s envo solutions','3 S Envo Solution',
3s envo solutions','3s envo solutions',
'3S Facility Management','3s integrated facility management pvt ltd., & radiant hospitality servises pvt ltd',
3S Facility Management','a facility management company',
'3S Industries','3F Industries',
3S Industries','3S Industries',
S Industries,'A A Industries',
 Industrie,'A C Industries',
'3S Infotech Services','3i-infotech consultancy services',
3S Infotech Services','3S Infotech Services',
'3s integrated facility management pvt ltd., & radiant hospitality servises pvt ltd','3R Management  Pvt  Ltd.',
3s integrated facility management pvt ltd., & radiant hospitality servises pvt ltd','3S Facility Management',
s integrated facility management pvt ltd., & radiant hospitality servises pvt ltd,'3s integrated facility management pvt ltd., & radiant hospitality servises pvt ltd',
'3s Photo Art Pvt Ltd as Graphic Designer','3d Graphic Designer',
3s Photo Art Pvt Ltd as Graphic Designer','3s Photo Art Pvt Ltd as Graphic Designer',
'3S Technologies','3Aces Technologies',
3S Technologies','3C Technologies',
S Technologies,'3D Technologies',
 Technologie,'3DEC TECHNOLOGIES',
'3S Technologies Automation','3S Technologies',
3S Technologies Automation','3S Technologies Automation',
'3Sins Technologies','3S Technologies',
3Sins Technologies','3Sins Technologies',
'3ST Technologies','3C Technologies',
3ST Technologies','3D Technologies',
ST Technologies,'3S Technologies',
T Technologie,'3ST Technologies',
'3T Industrial Solutions','3t industrial solutions pvt. itd',
'3t industrial solutions pvt. itd','3T Industrial Solutions',
3t industrial solutions pvt. itd','3t industrial solutions pvt. itd',
'3Wi Technologies','360i Technologies',
3Wi Technologies','3C Technologies',
Wi Technologies,'3D Technologies',
i Technologie,'3Wi Technologies',
 Technologi,'4i Technologies',
'4 Consulting','2COMS Consulting',
4 Consulting','361 Degree Minds Consulting Pvt Ltd',
 Consulting,'3B Consulting Pvt. Ltd.',
Consultin,'3ccorporate Career Consulting',
'4 Degree Consulting Pvt. Ltd.','361 Degree Minds Consulting Pvt Ltd',
4 Degree Consulting Pvt. Ltd.','3B Consulting Pvt. Ltd.',
 Degree Consulting Pvt. Ltd.,'4 Consulting',
Degree Consulting Pvt. Ltd,'4 Degree Consulting Pvt. Ltd.',
'4 state finance commission','4th State Finance Commission',
'42hertz','42Hertz Software India Pvt. Ltd.',
'42Hertz Software India Pvt. Ltd.','42hertz',
42Hertz Software India Pvt. Ltd.','42Hertz Software India Pvt. Ltd.',
'4C Consulting','4 Consulting',
4C Consulting','4C Consulting',
'4C Learning Solutions','4C Solutions',
'4C Pharma Solutions','4C Solutions',
'4C Solutions','4C Learning Solutions',
4C Solutions','4C Pharma Solutions',
C Solutions,'4C Solutions',
 Solution,'4G Identity Solutions',
Solutio,'7 Seas Business Solution',
'4Cplus','4cplus Internet',
4Cplus','4Cplus Internet Company',
'4cplus Internet','4Cplus',
4cplus Internet','4cplus Internet',
cplus Internet,'4Cplus Internet Company',
'4Cplus Internet Company','4Cplus',
4Cplus Internet Company','4cplus Internet',
Cplus Internet Company,'4Cplus Internet Company',
'4D Global','@Global',
'4dxfitness technologies pvt ltd','3K Technologies Ltd.',
4dxfitness technologies pvt ltd','4dxfitness technologies pvt ltd',
'4i Apps','4I Apps Solutions',
'4I Apps Solutions','4i Apps',
4I Apps Solutions','4I Apps Solutions',
'4i Technologies','3Wi Technologies',
4i Technologies','4i Technologies',
i Technologies,'4W Technologies',
 Technologie,'5i InfoSoft Technologies',
'4SPL Technologies India Pvt Ltd','3K Technologies Ltd.',
4SPL Technologies India Pvt Ltd','4SPL Technologies India Pvt Ltd',
'4th Dimension Architects','9 Architects',
'4th State Finance Commission','4 state finance commission',
4th State Finance Commission','4th State Finance Commission',
'4W','4W Technologies',
'4W Technologies','3Wi Technologies',
4W Technologies','4i Technologies',
W Technologies,'4W',
 Technologie,'4W Technologies',
'5','132.5 mw helios solar energy',
5','5',
,'5 Core Electronics',
'5 Core Electronics','5',
5 Core Electronics','5 Core Electronics',
'5 Elementz','5',
5 Elementz','5 Elementz',
'5 Star Constructions','5',
5 Star Constructions','5 Star Constructions',
'5 Tech Solutions','5',
5 Tech Solutions','5 Tech Solutions',
 Tech Solutions,'7Tech Solutions',
'506 Army Base Workshop','512 army base workshop',
'512 army base workshop','506 Army Base Workshop',
512 army base workshop','512 army base workshop',
'6D Global','@Global',
'6D Technologies','3D Technologies',
6D Technologies','6D Technologies',
'6i-infotech','3i Infotech',
6i-infotech','6i-infotech',
'7 Con','7 CON TECHNOLOGIES',
'7 CON TECHNOLOGIES','7 Con',
7 CON TECHNOLOGIES','7 CON TECHNOLOGIES',
'7 seasons resort','7 Seasons Resort & Spa',
'7 Seasons Resort & Spa','7 seasons resort',
7 Seasons Resort & Spa','7 Seasons Resort & Spa',
'72 Interactive','2Pi Interactive',
72 Interactive','72 Interactive',
2 Interactive,'9 9 Interactive',
'76 Degrees East Technologies','76 degrees east technologies pvt ld',
'76 degrees east technologies pvt ld','76 Degrees East Technologies',
76 degrees east technologies pvt ld','76 degrees east technologies pvt ld',
'7Eleven Arthasastra Technology','7Eleven Arthashastra Technology',
'7Eleven Arthashastra Technology','7Eleven Arthasastra Technology',
7Eleven Arthashastra Technology','7Eleven Arthashastra Technology',
'7Hills Business Solutions','3PQ Business Solutions',
7Hills Business Solutions','7Hills Business Solutions',
'7Tech Solutions','5 Tech Solutions',
7Tech Solutions','7Tech Solutions',
'7up American Bottling Company','7up bottling company',
'7up bottling company','7up American Bottling Company',
7up bottling company','7up bottling company',
'9','9 9 Interactive',
9','9 Architects',
,'9 Edge Technologies Pvt Ltd',
'9 9 Interactive','2Pi Interactive',
9 9 Interactive','72 Interactive',
 9 Interactive,'9',
9 Interactiv,'9 9 Interactive',
'9 Architects','4th Dimension Architects',
9 Architects','9',
 Architects,'9 Architects',
'9 Edge Technologies Pvt Ltd','3K Technologies Ltd.',
9 Edge Technologies Pvt Ltd','9',
 Edge Technologies Pvt Ltd,'9 Edge Technologies Pvt Ltd',
'9 Integrated Design Studio','9',
9 Integrated Design Studio','9 Integrated Design Studio',
'9.9 Mediaworx Pvt. Ltd.','9',
9.9 Mediaworx Pvt. Ltd.','9.9 Mediaworx Pvt. Ltd.',
'91 reality plus','91 Realty Plus',
'91 Realty Plus','91 reality plus',
91 Realty Plus','91 Realty Plus',
'92.7 BIG FM','92.7 Big FM, Reliance Broadcast Networks',
'92.7 Big FM, Reliance Broadcast Networks','92.7 BIG FM',
92.7 Big FM, Reliance Broadcast Networks','92.7 Big FM, Reliance Broadcast Networks',
'94.3 MY FM','3',
94.3 MY FM','94.3 MY FM',
4.3 MY FM,'94.3 my fm db corp',
'94.3 my fm db corp','3',
94.3 my fm db corp','94.3 MY FM',
4.3 my fm db corp,'94.3 my fm db corp',
':  GLOBAL PETROPROJECTS SERVICES AG','3 Global Services',
